ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Household_Size,TotalSpent,LuxuryScore,HealthScore,TotalPurchases,TotalCampaignsAccepted,CmpAccRecency,CampaignMomentum,SpendPerCapita,Tenure,LoyaltyScore,WebPurchasesPerVisit,OnlinePurchases,WebRation_Z,ImpulseIndex
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,68,1,1617,0.44712430426716143,0.49845392702535557,22,0,0,0.0,1617.0,159,0.33277536521972817,1.0,0.782608695652174,0.2810066489468099,0.49430562593091587
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,71,3,27,0.6296296296296297,0.3333333333333333,4,0,0,0.0,9.0,141,0.18576116136207277,0.16666666666666666,0.4,-0.7015488651428942,0.22667232420096498
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,60,2,776,0.6030927835051546,0.3698453608247423,20,0,0,0.0,388.0,148,0.38699488223503364,1.6,0.47619047619047616,0.7592796143597548,0.35186228109105605
6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,41,3,53,0.3018867924528302,0.6415094339622641,6,0,0,0.0,17.666666666666668,142,0.26371643550525375,0.2857142857142857,0.2857142857142857,-0.5244256803300414,0.2667926631926869
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,44,3,422,0.44549763033175355,0.490521327014218,14,0,0,0.0,140.66666666666666,143,0.1598744962204292,0.8333333333333334,0.5333333333333333,0.12239057605304744,0.5023628584337078
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,58,3,716,0.7458100558659218,0.19553072625698323,20,0,0,0.0,238.66666666666666,147,0.4390369931586605,0.8571428571428571,0.47619047619047616,0.14591264262457204,0.4082112328276554
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,54,2,590,0.4440677966101695,0.4728813559322034,17,0,0,0.0,295.0,157,0.34561680817253276,1.0,0.5555555555555556,0.2810066489468099,0.5066900642427715
6177,1985,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,40,3,169,0.5857988165680473,0.40828402366863903,8,0,0,0.0,56.333333333333336,151,0.28606529431984146,0.4444444444444444,0.4444444444444444,-0.31221719113509044,0.25093779280863726
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,51,3,46,0.34782608695652173,0.5869565217391305,5,0,0,0.0,15.333333333333334,150,0.31139958964262326,0.3,0.5,-0.5042825486767593,0.20158691153378236
5899,1950,PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,75,4,49,0.8367346938775511,0.14285714285714285,1,1,3,8.777083671441753e-18,12.25,141,0.11983547737134143,0.047619047619047616,0.5,-0.8977525556002348,0.28432193906965125
387,1976,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,49,2,61,0.36065573770491804,0.6229508196721312,5,0,0,0.0,30.5,157,0.183240278903466,0.2222222222222222,0.3333333333333333,-0.6167459066534249,0.16549655803519958
2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,66,1,1102,0.20326678765880218,0.6950998185117967,15,0,0,0.0,1102.0,145,0.253605186973298,1.0,0.4375,0.2810066489468099,0.39070627769536165
8180,1952,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,73,3,310,0.7967741935483871,0.1870967741935484,12,0,0,0.0,103.33333333333333,145,0.23006773955416432,0.8571428571428571,0.5384615384615384,0.14591264262457204,0.37273838090402744
2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,38,2,46,0.17391304347826086,0.8043478260869565,4,0,0,0.0,23.0,158,0.23522174522307399,0.1111111111111111,0.2,-0.7904901565480353,0.15466778163953254
